files_repo_name,version
linusshops/module-kickbox,"""php"":""~5.6.0|7.0.2|~7"
ACP3/subtree-push,"""php"":"">=7"
zhem4ag/event-snoozer,"""php"":"">=7"
networkteam/Networkteam.Neos.MailObfuscator,"""php"":"">=7"
dpslwk/ViMbAdminClient,"""php"":""~5.6|~7"
GrahamDeprecated/Laravel-Viewer,"""php"":"">=5.4.7"
php-school/phpschool.io,"""php"":""~7"
fanatov37/spav,"""php"":""~7"
ContinuumInteractive/presenter,"""php"":""^7"
vasavaashwin/phpfordemo,"""php"":""7"
amitshree/magento2-marketplace,"""php"":""~5.6.5|7.0.2|7.0.4|~7"
Fixhub/Fixhub,"""php"":"">=7"
rubberydub/snout,"""php"":"">=7"
TysonAndre/phan,"""php"":""~7.1.0||~7"
alhames/phphelper,"""php"":""^5.4||^7"
Khristophor/wp-stats,"""php"":"">=7"
jyggen/lua-parser,"""php"":""^7"
phpgt/csrf,"""php"":"">=7"
mekras/webapi-client,"""php"":""^5.6||^7"
magikcypress/slim-boot-boilerplate,"""php"":"">=5.3.7"
Enelar/phpa2o,"""php"":""~5.5||~7"
tomphp/container-configurator,"""php"":""^5.6|^7"
OpenConext/OpenConext-profile,"""php"":"">=5.6,<7"
vytsci/forkcms,"""php"":""^5.5||^7"
charlesportwoodii/mmxp-server,"""php"":"">=7"
opis/session,"""php"":"">=7"
meness/verifi,"""php"":""^7"
spiral/common,"""php"":""^7"
unicodeveloper/laravel-money,"""php"":""^5.4.0|^7"
dunglas/phpdoc-to-typehint,"""php"":"">=7"
personnage/SimpleCache,"""php"":""^5.4|^7"
smoench/apl-bundle,"""php"":""^5.3.3|~7"
symfony/twig-bridge,"""php"":""^7"
jsor/berti,"""php"":""^7"
hmlb/user-bundle,"""php"":""~7"
Sylius/Locale,"""php"":""^7"
saxulum/saxulum-doctrine-mongodb-odm-provider,"""php"":""~7"
ramsey/twig-codeblock,"""php"":""^5.6||^7"
ucsdmath/CronScheduler,"""php"":"">=7"
BenGorUser/UserBundle,"""php"":""^5.5||^7"
core23/ShariffBundle,"""php"":""^7"
mleczkopawel/zf3-doctrine,"""php"":""^5.6||^7"
Icybee/Patron,"		""php"":""^5.5|^7"
larkinscott/bolt,"""php"":""^5.5.9||^7"
learn-symfony/css-compiler,"""php"":"">=5.5.9||7.0.0-7.0.4||>=7"
CedrickOka/oka-pagination,"		""php"":""^5.3.9||^7"
MadCat34/zend-barcode,"""php"":""^5.5||^7"
terah/fluent-pdo-model,"""php"":"">=7"
Activisme-be/activisme.be,"""php"":"">=7"
pceuropa/yii2-forms,"""php"":"">=7"
Sam-Burns/config-tree,"""php"":""^7"
spatie/docs.spatie.be,"""php"":""^7"
ttomdewit/laravel-meetup,"""php"":""^7"
guide42/ochenta,"""php"":"">=7"
elcodi/Metric,"""php"":""^5.4|^7"
ctf0/MysqlToMongoDb,"""php"":""~7"
zewadesign/framework,"""php"":"">=7"
dariuszwrzesien/DwrOpenWeather,"""php"":""~5.6|~7"
mmucklo/urlify,"""php"":"">=5.3.17"
symfony-cmf/Testing,"""php"":""^5.3.9|^7"
carakas/forkcms,"""php"":""^7"
XMadMax/codeigniter-3-with-xhmvc,"		""php"":"">=5.3.7"
Sylius/Currency,"""php"":""^7"
Caveja/toshl-client,"""php"":""~7"
php-refactoring/zend-array-utility,"""php"":""^5.6||^7"
ma-si/aist-git-tools,"""php"":""^5.6||^7"
lezhnev74/ema,"""php"":""^7"
martiis/FilterManagerBundle,"""php"":""^7"
IgorNikolaev/phestival,"""php"":""^7"
stephangroen/propel-laravel,"		""php"":"">=5.3.7"
julesbl/ssp,"		""php"":""^5.5||^7"
cubiche/cubiche,"""php"":""^5.5.9|^7"
skowron-line/QueryParamValidatorBundle,"""php"":""^5.5.9|^7"
chrishalbert/phpbcc,"""php"":""7"
MarioBlazek/OpenWeatherMapLibrary,"""php"":""~5.6|~7"
LIN3S/PatternLibraryBuilder,"""php"":""^7"
